Time	Channel A
(s)	(mV)

0.00000000	82.43725000
0.00020000	82.43725000
0.00040000	82.43725000
0.00060000	84.31348000
0.00080000	84.31348000
0.00100000	84.31348000
0.00120000	84.31348000
0.00140000	84.31348000
0.00160000	84.31348000
0.00180000	84.31348000
0.00200000	86.18356000
0.00220000	86.18356000
0.00240000	86.18356000
0.00260000	86.18356000
0.00280000	86.18356000
0.00300000	86.18356000
0.00320000	86.18356000
0.00340000	86.18356000
0.00360000	86.18356000
0.00380000	86.18356000
0.00400000	86.18356000
0.00420000	86.18356000
0.00440000	84.31348000
0.00460000	84.31348000
0.00480000	84.31348000
0.00500000	84.31348000
0.00520000	84.31348000
0.00540000	82.43725000
0.00560000	82.43725000
0.00580000	82.43725000
0.00600000	82.43725000
0.00620000	82.43725000
0.00640000	82.43725000
0.00660000	82.43725000
0.00680000	80.56717000
0.00700000	80.56717000
0.00720000	80.56717000
0.00740000	80.56717000
0.00760000	80.56717000
0.00780000	78.69094000
0.00800000	78.69094000
0.00820000	78.69094000
0.00840000	78.69094000
0.00860000	78.69094000
0.00880000	78.69094000
0.00900000	78.69094000
0.00920000	78.69094000
0.00940000	80.56717000
0.00960000	80.56717000
0.00980000	80.56717000
0.01000000	80.56717000
0.01020000	80.56717000
0.01040000	80.56717000
0.01060000	80.56717000
0.01080000	80.56717000
0.01100000	82.43725000
0.01120000	82.43725000
0.01140000	82.43725000
0.01160000	82.43725000
0.01180000	82.43725000
0.01200000	84.31348000
0.01220000	84.31348000
0.01240000	84.31348000
0.01260000	84.31348000
0.01280000	84.31348000
0.01300000	84.31348000
0.01320000	86.18356000
0.01340000	86.18356000
0.01360000	86.18356000
0.01380000	86.18356000
0.01400000	86.18356000
0.01420000	86.18356000
0.01440000	86.18356000
0.01460000	86.18356000
0.01480000	86.18356000
0.01500000	86.18356000
0.01520000	86.18356000
0.01540000	84.31348000
0.01560000	84.31348000
0.01580000	84.31348000
0.01600000	84.31348000
0.01620000	84.31348000
0.01640000	84.31348000
0.01660000	84.31348000
0.01680000	84.31348000
0.01700000	84.31348000
0.01720000	82.43725000
0.01740000	82.43725000
0.01760000	82.43725000
0.01780000	82.43725000
0.01800000	82.43725000
0.01820000	82.43725000
0.01840000	82.43725000
0.01860000	82.43725000
0.01880000	82.43725000
0.01900000	82.43725000
0.01920000	82.43725000
0.01940000	82.43725000
0.01960000	82.43725000
0.01980000	82.43725000
0.02000000	82.43725000
0.02020000	82.43725000
0.02040000	82.43725000
0.02060000	82.43725000
0.02080000	82.43725000
0.02100000	84.31348000
0.02120000	84.31348000
0.02140000	84.31348000
0.02160000	84.31348000
0.02180000	84.31348000
0.02200000	84.31348000
0.02220000	84.31348000
0.02240000	84.31348000
0.02260000	84.31348000
0.02280000	84.31348000
0.02300000	84.31348000
0.02320000	84.31348000
0.02340000	84.31348000
0.02360000	84.31348000
0.02380000	84.31348000
0.02400000	84.31348000
0.02420000	84.31348000
0.02440000	84.31348000
0.02460000	84.31348000
0.02480000	82.43725000
0.02500000	82.43725000
0.02520000	82.43725000
0.02540000	82.43725000
0.02560000	82.43725000
0.02580000	82.43725000
0.02600000	82.43725000
0.02620000	82.43725000
0.02640000	80.56717000
0.02660000	80.56717000
0.02680000	80.56717000
0.02700000	80.56717000
0.02720000	80.56717000
0.02740000	78.69094000
0.02760000	80.56717000
0.02780000	78.69094000
0.02800000	78.69094000
0.02820000	78.69094000
0.02840000	78.69094000
0.02860000	78.69094000
0.02880000	78.69094000
0.02900000	78.69094000
0.02920000	78.69094000
0.02940000	80.56717000
0.02960000	80.56717000
0.02980000	80.56717000
0.03000000	80.56717000
0.03020000	80.56717000
0.03040000	80.56717000
0.03060000	80.56717000
0.03080000	80.56717000
0.03100000	80.56717000
0.03120000	80.56717000
0.03140000	82.43725000
0.03160000	82.43725000
0.03180000	82.43725000
0.03200000	82.43725000
0.03220000	82.43725000
0.03240000	82.43725000
0.03260000	82.43725000
0.03280000	82.43725000
0.03300000	82.43725000
0.03320000	82.43725000
0.03340000	82.43725000
0.03360000	82.43725000
0.03380000	82.43725000
0.03400000	84.31348000
0.03420000	82.43725000
0.03440000	84.31348000
0.03460000	82.43725000
0.03480000	84.31348000
