Time	Channel A	Channel B
(ms)	(V)	(V)

0.00000000	2.74683200	-0.78309550
0.02000000	2.79112300	-0.78309550
0.04000000	2.79112300	-0.78309550
0.06000000	2.79112300	-0.78309550
0.08000000	2.83541500	-0.78309550
0.10000000	2.79112300	-0.86983270
0.12000000	2.87970600	-0.86983270
0.14000000	2.87970600	-0.86983270
0.16000000	2.87970600	-0.86983270
0.18000000	2.87970600	-0.86983270
0.19999999	2.87970600	-0.95687750
0.21999999	2.92399700	-0.95687750
0.23999999	2.87970600	-0.95687750
0.25999999	2.92399700	-0.95687750
0.27999999	2.92399700	-0.95687750
0.29999999	2.92399700	-0.95687750
0.31999999	2.92399700	-1.04392200
0.33999999	2.96828900	-1.04392200
0.35999999	3.01258000	-1.13096700
0.37999999	2.96828900	-1.04392200
0.39999999	3.01258000	-1.13096700
0.41999999	3.01258000	-1.13096700
0.43999999	3.05687100	-1.13096700
0.45999999	3.01258000	-1.13096700
0.47999999	3.01258000	-1.21801200
0.49999999	3.01258000	-1.13096700
0.51999999	3.05687100	-1.21801200
0.53999999	3.05687100	-1.21801200
0.55999999	3.05687100	-1.21801200
0.57999999	3.05687100	-1.21801200
0.59999998	3.01258000	-1.30505700
0.61999998	3.05687100	-1.30505700
0.63999998	3.10131600	-1.30505700
0.65999998	3.10131600	-1.30505700
0.67999998	3.10131600	-1.30505700
0.69999998	3.10131600	-1.39210100
0.71999998	3.10131600	-1.39210100
0.73999998	3.10131600	-1.39210100
0.75999998	3.14560800	-1.39210100
0.77999998	3.10131600	-1.47914600
0.79999998	3.10131600	-1.47914600
0.81999998	3.14560800	-1.47914600
0.83999998	3.10131600	-1.47914600
0.85999998	3.14560800	-1.47914600
0.87999998	3.14560800	-1.56619100
0.89999998	3.10131600	-1.56619100
0.91999998	3.14560800	-1.56619100
0.93999998	3.10131600	-1.56619100
0.95999998	3.14560800	-1.56619100
0.97999998	3.10131600	-1.56619100
0.99999997	3.14560800	-1.65323600
1.01999997	3.14560800	-1.65323600
1.03999997	3.14560800	-1.65323600
1.05999997	3.14560800	-1.65323600
1.07999997	3.14560800	-1.65323600
1.09999997	3.14560800	-1.73997300
1.11999997	3.18989900	-1.73997300
1.13999997	3.14560800	-1.73997300
1.15999997	3.18989900	-1.73997300
1.17999997	3.18989900	-1.73997300
1.19999997	3.18989900	-1.82701800
1.21999997	3.18989900	-1.82701800
1.23999997	3.18989900	-1.82701800
1.25999997	3.14560800	-1.82701800
1.27999997	3.18989900	-1.91406300
1.29999997	3.18989900	-1.82701800
1.31999997	3.18989900	-1.91406300
1.33999997	3.14560800	-1.91406300
1.35999997	3.18989900	-1.91406300
1.37999997	3.18989900	-1.91406300
1.39999996	3.18989900	-2.00110700
1.41999996	3.14560800	-2.00110700
1.43999996	3.18989900	-2.00110700
1.45999996	3.18989900	-2.00110700
1.47999996	3.14560800	-2.08815200
1.49999996	3.14560800	-2.08815200
1.51999996	3.18989900	-2.08815200
1.53999996	3.18989900	-2.08815200
1.55999996	3.18989900	-2.17519700
1.57999996	3.14560800	-2.17519700
1.59999996	3.18989900	-2.17519700
1.61999996	3.18989900	-2.17519700
1.63999996	3.18989900	-2.17519700
1.65999996	3.18989900	-2.17519700
1.67999996	3.14560800	-2.17519700
1.69999996	3.18989900	-2.26224200
1.71999996	3.18989900	-2.26224200
1.73999996	3.14560800	-2.26224200
1.75999996	3.18989900	-2.26224200
1.77999996	3.18989900	-2.26224200
1.79999995	3.14560800	-2.26224200
1.81999995	3.14560800	-2.34928600
1.83999995	3.18989900	-2.34928600
1.85999995	3.18989900	-2.34928600
1.87999995	3.14560800	-2.34928600
1.89999995	3.18989900	-2.43633100
1.91999995	3.14560800	-2.43633100
1.93999995	3.18989900	-2.43633100
1.95999995	3.14560800	-2.43633100
1.97999995	3.18989900	-2.43633100
1.99999995	3.18989900	-2.52337600
2.01999995	3.18989900	-2.52337600
2.03999995	3.14560800	-2.52337600
2.05999995	3.14560800	-2.52337600
2.07999995	3.18989900	-2.52337600
2.09999995	3.18989900	-2.61011300
2.11999995	3.18989900	-2.61011300
2.13999995	3.18989900	-2.61011300
2.15999995	3.18989900	-2.61011300
2.17999994	3.18989900	-2.61011300
2.19999994	3.18989900	-2.69715800
2.21999994	3.14560800	-2.69715800
2.23999994	3.14560800	-2.69715800
2.25999994	3.18989900	-2.69715800
2.27999994	3.18989900	-2.69715800
2.29999994	3.18989900	-2.78420300
2.31999994	3.14560800	-2.78420300
2.33999994	3.18989900	-2.78420300
2.35999994	3.18989900	-2.78420300
2.37999994	3.18989900	-2.78420300
