Time	Channel A	Channel B
(ms)	(V)	(V)

0.00000000	1.55065800	1.47914600
0.02000000	1.46192200	1.47914600
0.04000000	1.50621300	1.47914600
0.06000000	1.46192200	1.56619100
0.08000000	1.46192200	1.56619100
0.10000000	1.46192200	1.56619100
0.12000000	1.46192200	1.65323600
0.14000000	1.46192200	1.65323600
0.16000000	1.41763000	1.65323600
0.18000000	1.50621300	1.65323600
0.19999999	1.46192200	1.65323600
0.21999999	1.46192200	1.73997300
0.23999999	1.50621300	1.73997300
0.25999999	1.46192200	1.73997300
0.27999999	1.46192200	1.82701800
0.29999999	1.46192200	1.82701800
0.31999999	1.50621300	1.82701800
0.33999999	1.50621300	1.82701800
0.35999999	1.50621300	1.82701800
0.37999999	1.55065800	1.91406300
0.39999999	1.55065800	1.91406300
0.41999999	1.59495000	1.91406300
0.43999999	1.55065800	2.00110700
0.45999999	1.59495000	2.00110700
0.47999999	1.63924100	2.00110700
0.49999999	1.63924100	2.00110700
0.51999999	1.63924100	2.00110700
0.53999999	1.68353200	2.08815200
0.55999999	1.72782400	2.08815200
0.57999999	1.77211500	2.08815200
0.59999998	1.77211500	2.08815200
0.61999998	1.81640600	2.17519700
0.63999998	1.86069800	2.17519700
0.65999998	1.90498900	2.17519700
0.67999998	1.86069800	2.17519700
0.69999998	1.94928000	2.26224200
0.71999998	1.99357200	2.26224200
0.73999998	2.03786300	2.26224200
0.75999998	2.08230800	2.26224200
0.77999998	2.08230800	2.34928600
0.79999998	2.12659900	2.34928600
0.81999998	2.12659900	2.34928600
0.83999998	2.17089100	2.34928600
0.85999998	2.21518200	2.34928600
0.87999998	2.25947300	2.34928600
0.89999998	2.30376500	2.43633100
0.91999998	2.34805600	2.43633100
0.93999998	2.39234700	2.43633100
0.95999998	2.43663900	2.52337600
0.97999998	2.43663900	2.52337600
0.99999997	2.43663900	2.52337600
1.01999997	2.48093000	2.52337600
1.03999997	2.52522100	2.61011300
1.05999997	2.52522100	2.61011300
1.07999997	2.56951300	2.61011300
1.09999997	2.61395800	2.61011300
1.11999997	2.65824900	2.61011300
1.13999997	2.65824900	2.69715800
1.15999997	2.70254100	2.69715800
1.17999997	2.70254100	2.69715800
1.19999997	2.70254100	2.78420300
1.21999997	2.74683200	2.78420300
1.23999997	2.79112300	2.78420300
1.25999997	2.79112300	2.78420300
1.27999997	2.79112300	2.87124800
1.29999997	2.79112300	2.87124800
1.31999997	2.87970600	2.87124800
1.33999997	2.83541500	2.87124800
1.35999997	2.83541500	2.87124800
1.37999997	2.83541500	2.95829200
1.39999996	2.83541500	2.95829200
1.41999996	2.83541500	2.95829200
1.43999996	2.87970600	2.95829200
1.45999996	2.87970600	3.04533700
1.47999996	2.87970600	3.04533700
1.49999996	2.87970600	3.04533700
1.51999996	2.83541500	3.04533700
1.53999996	2.83541500	3.04533700
1.55999996	2.83541500	3.13238200
1.57999996	2.83541500	3.13238200
1.59999996	2.79112300	3.13238200
1.61999996	2.79112300	3.13238200
1.63999996	2.74683200	3.13238200
1.65999996	2.74683200	3.21942700
1.67999996	2.74683200	3.21942700
1.69999996	2.70254100	3.21942700
1.71999996	2.70254100	3.30647100
1.73999996	2.65824900	3.30647100
1.75999996	2.65824900	3.30647100
1.77999996	2.61395800	3.30647100
1.79999995	2.56951300	3.30647100
1.81999995	2.56951300	3.30647100
1.83999995	2.48093000	3.39351600
1.85999995	2.48093000	3.39351600
1.87999995	2.48093000	3.39351600
1.89999995	2.43663900	3.48025300
1.91999995	2.43663900	3.48025300
1.93999995	2.34805600	3.48025300
1.95999995	2.34805600	3.48025300
1.97999995	2.34805600	3.48025300
1.99999995	2.25947300	3.56729800
2.01999995	2.25947300	3.56729800
2.03999995	2.21518200	3.56729800
2.05999995	2.17089100	3.56729800
2.07999995	2.12659900	3.65434300
2.09999995	2.12659900	3.65434300
2.11999995	2.08230800	3.65434300
2.13999995	2.03786300	3.74138800
2.15999995	2.03786300	3.74138800
2.17999994	1.94928000	3.74138800
2.19999994	1.94928000	3.74138800
2.21999994	1.90498900	3.74138800
2.23999994	1.86069800	3.82843300
2.25999994	1.81640600	3.82843300
2.27999994	1.81640600	3.82843300
2.29999994	1.81640600	3.82843300
2.31999994	1.77211500	3.91547700
2.33999994	1.72782400	3.91547700
2.35999994	1.72782400	3.91547700
2.37999994	1.68353200	3.91547700
2.39999994	1.68353200	4.00252200
2.41999994	1.68353200	4.00252200
2.43999994	1.63924100	4.00252200
2.45999994	1.59495000	4.00252200
2.47999994	1.59495000	4.08956700
2.49999994	1.59495000	4.08956700
