Frequency	Channel A	Channel B
(ms)	(V)	(mV)

-1.01000001	-3.01242600	-11.63878000
-1.00000001	-3.01242600	-11.63878000
-0.99000001	-3.01242600	-11.63878000
-0.98000001	-2.92384300	-11.20817000
-0.97000001	-2.92384300	-11.63878000
-0.96000001	-2.92384300	-11.20817000
-0.95000001	-2.83526100	-11.63878000
-0.94000001	-2.83526100	-11.20817000
-0.93000001	-2.83526100	-11.63878000
-0.92000001	-2.74667800	-11.63878000
-0.91000001	-2.74667800	-11.63878000
-0.90000001	-2.74667800	-11.20817000
-0.89000001	-2.65809500	-11.63878000
-0.88000001	-2.65809500	-11.63878000
-0.87000001	-2.65809500	-11.63878000
-0.86000001	-2.56951300	-11.63878000
-0.85000001	-2.56951300	-11.63878000
-0.84000001	-2.56951300	-11.20817000
-0.83000001	-2.48093000	-11.63878000
-0.82000001	-2.48093000	-11.63878000
-0.81000001	-2.48093000	-11.63878000
-0.80000001	-2.39234700	-11.63878000
-0.79000001	-2.39234700	-11.20817000
-0.78000001	-2.39234700	-11.63878000
-0.77000001	-2.30376500	-11.20817000
-0.76000001	-2.30376500	-11.63878000
-0.75000001	-2.30376500	-11.63878000
-0.74000001	-2.21518200	-11.20817000
-0.73000001	-2.21518200	-11.63878000
-0.72000001	-2.21518200	-11.63878000
-0.71000001	-2.12659900	-11.63878000
-0.70000002	-2.12659900	-11.20817000
-0.69000002	-2.12659900	-11.20817000
-0.68000002	-2.03770900	-11.63878000
-0.67000002	-2.03770900	-11.63878000
-0.66000002	-2.03770900	-11.63878000
-0.65000002	-1.94912600	-11.63878000
-0.64000002	-1.94912600	-11.20817000
-0.63000002	-1.86054400	-11.20817000
-0.62000002	-1.86054400	-11.20817000
-0.61000002	-1.86054400	-11.20817000
-0.60000002	-1.86054400	-11.20817000
-0.59000002	-1.77196100	-11.20817000
-0.58000002	-1.77196100	-11.63878000
-0.57000002	-1.68337800	-11.20817000
-0.56000002	-1.68337800	-11.20817000
-0.55000002	-1.68337800	-10.77756000
-0.54000002	-1.68337800	-11.20817000
-0.53000002	-1.59479600	-11.20817000
-0.52000002	-1.59479600	-11.20817000
-0.51000002	-1.59479600	-11.20817000
-0.50000002	-1.59479600	-11.20817000
-0.49000002	-1.50621300	-11.20817000
-0.48000002	-1.41763000	-11.20817000
-0.47000002	-1.41763000	-10.77756000
-0.46000002	-1.41763000	-10.77756000
-0.45000002	-1.41763000	-11.20817000
-0.44000002	-1.32904800	-11.20817000
-0.43000002	-1.32904800	-11.20817000
-0.42000002	-1.32904800	-11.20817000
-0.41000002	-1.24046500	-11.20817000
-0.40000002	-1.24046500	-11.20817000
-0.39000002	-1.24046500	-11.20817000
-0.38000002	-1.15188200	-10.77756000
-0.37000002	-1.15188200	-10.77756000
-0.36000002	-1.15188200	-10.77756000
-0.35000002	-1.06330000	-10.77756000
-0.34000002	-1.06330000	-10.77756000
-0.33000002	-1.06330000	-10.77756000
-0.32000002	-0.97440950	-10.77756000
-0.31000002	-0.97440950	-10.77756000
-0.30000003	-0.97440950	-10.77756000
-0.29000003	-0.88582680	-10.77756000
-0.28000003	-0.88582680	-10.34541000
-0.27000003	-0.88582680	-10.34541000
-0.26000003	-0.88582680	-10.77756000
-0.25000003	-0.79724410	-10.77756000
-0.24000003	-0.79724410	-10.34541000
-0.23000003	-0.79724410	-10.34541000
-0.22000003	-0.70866140	-10.34541000
-0.21000003	-0.70866140	-10.34541000
-0.20000003	-0.62007870	-10.34541000
-0.19000003	-0.62007870	-10.34541000
-0.18000003	-0.62007870	-10.34541000
-0.17000003	-0.62007870	-10.34541000
-0.16000003	-0.53149600	-10.34541000
-0.15000003	-0.53149600	-10.34541000
-0.14000003	-0.53149600	-10.34541000
-0.13000003	-0.44291340	-10.34541000
-0.12000003	-0.35433070	-10.34541000
-0.11000003	-0.35433070	-10.34541000
-0.10000003	-0.35433070	-9.91480000
-0.09000003	-0.35433070	-10.34541000
-0.08000003	-0.26574800	-9.91480000
-0.07000003	-0.26574800	-10.34541000
-0.06000003	-0.26574800	-10.34541000
-0.05000003	-0.17716540	-10.34541000
-0.04000003	-0.17716540	-10.34541000
-0.03000003	-0.17716540	-10.34541000
-0.02000003	-0.17716540	-9.91480000
-0.01000003	-0.08858268	-9.91480000
-0.00000003	0.00000000	-10.34541000
0.00999997	0.00000000	-9.91480000
0.01999997	0.00000000	-9.91480000
0.02999997	0.08858268	-9.91480000
0.03999997	0.08858268	-9.91480000
0.04999997	0.08858268	-10.34541000
0.05999997	0.08858268	-9.91480000
0.06999997	0.17716540	-9.91480000
0.07999997	0.17716540	-10.34541000
0.08999996	0.26574800	-9.91480000
0.09999996	0.35433070	-9.91480000
0.10999996	0.35433070	-9.91480000
0.11999996	0.35433070	-9.91480000
0.12999996	0.44291340	-9.91480000
0.13999996	0.44291340	-9.48419000
0.14999996	0.44291340	-9.48419000
0.15999996	0.53149600	-9.48419000
0.16999996	0.53149600	-9.48419000
0.17999996	0.62007870	-9.48419000
0.18999996	0.62007870	-9.48419000
0.19999996	0.62007870	-9.05204100
0.20999996	0.70866140	-8.62143100
0.21999996	0.70866140	-8.62143100
0.22999996	0.70866140	-8.19082200
0.23999996	0.79724410	-7.75867300
0.24999996	0.79724410	-7.32806300
0.25999996	0.88582680	-6.89745300
0.26999996	0.88582680	-6.46530500
0.27999996	0.88582680	-6.03469500
0.28999996	0.97440950	-5.17193600
0.29999996	0.97440950	-4.74132600
0.30999996	1.06330000	-4.31071600
0.31999996	1.06330000	-3.44795700
0.32999996	1.06330000	-3.01734700
0.33999996	1.15188200	-2.58519900
0.34999996	1.15188200	-1.72397900
0.35999996	1.15188200	-0.86122040
0.36999996	1.24046500	-0.43061020
0.37999996	1.24046500	0.43061020
0.38999996	1.32904800	1.29183100
0.39999996	1.32904800	1.72397900
0.40999996	1.32904800	2.58519900
0.41999996	1.41763000	3.44795700
0.42999996	1.41763000	3.87856800
0.43999996	1.50621300	4.74132600
0.44999996	1.50621300	5.17193600
0.45999996	1.50621300	5.60408400
0.46999996	1.59479600	6.03469500
0.47999996	1.59479600	6.89745300
0.48999995	1.59479600	7.75867300
0.49999995	1.68337800	8.19082200
0.50999995	1.68337800	8.62143100
0.51999995	1.77196100	8.62143100
0.52999995	1.77196100	9.05204100
0.53999995	1.77196100	9.48419000
0.54999995	1.86054400	9.91480000
0.55999995	1.94912600	10.34541000
0.56999995	1.94912600	10.34541000
0.57999995	1.94912600	10.77756000
0.58999995	1.94912600	10.77756000
0.59999995	2.03770900	10.77756000
0.60999995	2.03770900	11.20817000
0.61999995	2.12659900	11.20817000
0.62999995	2.12659900	11.20817000
0.63999995	2.21518200	10.77756000
0.64999995	2.21518200	10.77756000
0.65999995	2.21518200	10.77756000
0.66999995	2.30376500	10.77756000
0.67999995	2.30376500	10.77756000
0.68999995	2.39234700	10.34541000
0.69999995	2.39234700	9.91480000
0.70999995	2.39234700	9.91480000
0.71999995	2.48093000	9.48419000
0.72999995	2.48093000	9.05204100
0.73999995	2.56951300	9.05204100
0.74999995	2.56951300	8.62143100
0.75999995	2.56951300	8.19082200
0.76999995	2.65809500	8.19082200
0.77999995	2.65809500	7.32806300
0.78999995	2.65809500	7.32806300
0.79999995	2.74667800	6.89745300
0.80999995	2.74667800	6.46530500
0.81999995	2.74667800	6.03469500
0.82999995	2.83526100	5.60408400
0.83999995	2.83526100	5.60408400
0.84999995	2.83526100	5.17193600
0.85999995	2.92384300	5.17193600
0.86999995	2.92384300	4.74132600
0.87999995	3.01242600	4.74132600
0.88999994	3.01242600	4.31071600
0.89999994	3.01242600	4.31071600
0.90999994	3.10131600	4.31071600
